266	L_ 118 / B_ {#akzaH#} / S_ {#--vftta#} / S_M_ ({#--ttaM#}	akzavfttaM
267	L_ 118 / B_ {#akzaH#} / S_ {#--stuzaH#}	akzastuzaH
268	L_ 118 / B_ {#akzaH#} / S_ {#--hfdayaM#}	akzahfdayaM
269	L_ 119 / B_ {#akzakaH#}	akzakaH
270	L_ 120 / B_ {#akzavatI#}	akzavatI
271	L_ 121 / B_ {#akzAnah#}	akzAnah
272	L_ 122 / B_ {#akzaRa#}	akzaRa
273	L_ 123 / B_ {#akzaRika#}	akzaRika
274	L_ 124 / B_ {#akzaRvat#}	akzaRvat
275	L_ 125 / B_ {#akzata#}	akzata
276	L_ 125 / B_ {#akzata#} / M_ {#--taH#}	akzataH
277	L_ 125 / B_ {#akzata#} / M_ {#--taM#}	akzataM
278	L_ 125 / B_ {#akzata#} / M_ {#--tA#}	akzatA
279	L_ 125 / B_ {#akzata#} / S_ {#--yoniH#}	akzatayoniH
280	L_ 126 / B_ {#akzatra#}	akzatra
281	L_ 127 / B_ {#akzan#}	akzan
282	L_ 128 / B_ {#akzama#}	akzama
283	L_ 128 / B_ {#akzama#} / M_ {#--mA#}	akzamA
284	L_ 129 / B_ {#akzaya#}	akzaya
285	L_ 129 / B_ {#akzaya#} / M_ {#--yaH#}	akzayaH
286	L_ 129 / B_ {#akzaya#} / M_ {#--yA#}	akzayA
287	L_ 129 / B_ {#akzaya#} / S_ {#--guRaH, --puruhUtaH#}	akzayaguRaH,akzayapuruhUtaH
288	L_ 129 / B_ {#akzaya#} / S_ {#--tftIyA#}	akzayatftIyA
289	L_ 129 / B_ {#akzaya#} / S_ {#--lokaH#}	akzayalokaH
290	L_ 130 / B_ {#akzayAlalitA#}	akzayAlalitA
291	L_ 131 / B_ {#akzayiRI#}	akzayiRI
292	L_ 132 / B_ {#akzayya#}	akzayya
293	L_ 132 / B_ {#akzayya#} / S_ {#--udakaM#}	akzayyodakaM
294	L_ 132 / B_ {#akzayya#} / S_ {#--navamI#}	akzayyanavamI
295	L_ 133 / B_ {#akzara#}	akzara
296	L_ 133 / B_ {#akzara#} / M_ {#--raH#}	akzaraH
297	L_ 133 / B_ {#akzara#} / M_ {#--rA#}	akzarA
298	L_ 133 / B_ {#akzara#} / M_ {#--raM#}	akzaraM
299	L_ 133 / B_ {#akzara#} / S_ {#--aMgaM#}	akzarAMgaM
300	L_ 133 / B_ {#akzara#} / S_ {#--arTaH#}	akzarArTaH
301	L_ 133 / B_ {#akzara#} / S_ {#--caM(cuM)cuH#} {#--caRaH, --naH#}	
302	L_ 133 / B_ {#akzara#} / S_ {#--cyutakaM#}	akzaracyutakaM
303	L_ 133 / B_ {#akzara#} / S_ {#--CaMdas#}	akzaracCaMdas
304	L_ 133 / B_ {#akzara#} / S_ {#--jananI, --tUlikA#}	akzarajananI,akzaratUlikA
305	L_ 133 / B_ {#akzara#} / S_ {#--(vi) nyAsaH#}	
306	L_ 133 / B_ {#akzara#} / S_ {#--paMkti#}	akzarapaMkti
307	L_ 133 / B_ {#akzara#} / S_ {#--BAj#}	akzaraBAj
308	L_ 133 / B_ {#akzara#} / S_ {#--BUmikA#}	akzaraBUmikA
309	L_ 133 / B_ {#akzara#} / S_ {#--muKaH#}	akzaramuKaH
310	L_ 133 / B_ {#akzara#} / S_ {#--muKaH#} / S_M_ ({#--KaM#}	akzaramuKaM
311	L_ 133 / B_ {#akzara#} / S_ {#--muzwikA#}	akzaramuzwikA
312	L_ 133 / B_ {#akzara#} / S_ {#--varjita#}	akzaravarjita
313	L_ 133 / B_ {#akzara#} / S_ {#--vyaktiH#}	akzaravyaktiH
314	L_ 133 / B_ {#akzara#} / S_ {#--SikzA#}	akzaraSikzA
315	L_ 133 / B_ {#akzara#} / S_ {#--saMsTAnaM#}	akzarasaMsTAnaM
316	L_ 134 / B_ {#akzarakaM#}	akzarakaM
317	L_ 135 / B_ {#akzaraSaH#}	akzaraSaH
318	L_ 136 / B_ {#akzarya#}	akzarya
319	L_ 137 / B_ {#akzarI#}	akzarI
320	L_ 138 / B_ {#akzAnah#}	akzAnah
321	L_ 139 / B_ {#akzAMtiH#}	akzAMtiH
322	L_ 140 / B_ {#akzAra#}	akzAra
323	L_ 140 / B_ {#akzAra#} / M_ {#--raH#}	akzAraH
324	L_ 140 / B_ {#akzAra#} / S_ {#--lavaRaM#}	akzAralavaRaM
325	L_ 141 / B_ {#akzi#}	akzi
326	L_ 141 / B_ {#akzi#} / S_ {#--kaMpaH#}	akzikaMpaH
327	L_ 141 / B_ {#akzi#} / S_ {#--kUwaH --wakaH, --golaH, --tArA#}	akzigolaH,akzikUwaH,akzitArA
328	L_ 141 / B_ {#akzi#} / S_ {#--gata#}	akzigata
329	L_ 141 / B_ {#akzi#} / S_ {#--jAhaH#}	akzijAhaH
330	L_ 141 / B_ {#akzi#} / S_ {#--pakzman, --loman#}	akziloman,akzipakzman
331	L_ 141 / B_ {#akzi#} / S_ {#--pawalaM#}	akzipawalaM
332	L_ 141 / B_ {#akzi#} / S_ {#--pat#}	akzipat
333	L_ 141 / B_ {#akzi#} / S_ {#--BU#}	akziBU
334	L_ 141 / B_ {#akzi#} / S_ {#--BezajaM#}	akziBezajaM
335	L_ 141 / B_ {#akzi#} / S_ {#--BezajaM#} / S_M_ ({#--jaH#}	akziBezajaH
336	L_ 141 / B_ {#akzi#} / S_ {#--BruvaM#}	akziBruvaM
337	L_ 141 / B_ {#akzi#} / S_ {#--vikURitaM#}, {#--vikUSitaM#}	akzivikURitaM,akzivikUSitaM
